,Time,Dominant Freq.,X,Y,Amplitude,Phase,,Wavelength,Amp/Wave
14,10,FALSE,31,15,0.000884482,-0.347912384,,0.032258065,0.027418935
15,10,FALSE,75,17,0.001095859,-0.693059601,,0.013333333,0.08218944
16,10,FALSE,17,19,0.001037054,0.350311968,,0.058823529,0.017629921
17,10,FALSE,84,19,0.000897855,-2.16786393,,0.011904762,0.075419861
18,10,FALSE,24,23,0.000970222,1.387470573,,0.041666667,0.023285332
19,10,FALSE,49,23,0.000894168,2.753167332,,0.020408163,0.043814219
20,10,FALSE,74,23,0.000877972,-1.506105061,,0.013513514,0.064969941
21,10,FALSE,67,25,0.001002939,-2.428759365,,0.014925373,0.067196924
22,10,FALSE,17,27,0.000882865,-0.988717404,,0.058823529,0.015008698
23,10,FALSE,63,27,0.000983466,2.121586573,,0.015873016,0.061958351
24,10,FALSE,69,29,0.000918691,0.993609112,,0.014492754,0.063389687
25,10,FALSE,29,30,0.000963832,-1.842681307,,0.034482759,0.027951126
26,10,FALSE,63,32,0.000877099,-2.322184601,,0.015873016,0.05525721
0,11,FALSE,25,0,0.001087481,-0.996322512,,0.04,0.027187023
1,11,FALSE,53,0,0.001036933,1.830615426,,0.018867925,0.054957455
2,11,FALSE,23,1,0.001022736,0.884880438,,0.043478261,0.023522928
3,11,FALSE,48,1,0.001272603,2.212362177,,0.020833333,0.061084952
4,11,FALSE,53,1,0.001062034,-2.668937858,,0.018867925,0.056287788
5,11,FALSE,58,1,0.001147985,1.738860831,,0.017241379,0.066583142
6,11,FALSE,34,2,0.001069474,2.789705704,,0.029411765,0.036362113
7,11,FALSE,37,3,0.001031802,-2.33688578,,0.027027027,0.03817666
8,11,FALSE,16,4,0.001155783,1.366720722,,0.0625,0.018492521
9,11,FALSE,60,4,0.001066677,1.272813343,,0.016666667,0.064000597
10,11,FALSE,67,4,0.001076968,-0.771573728,,0.014925373,0.072156831
11,11,FALSE,46,5,0.001146298,2.082281024,,0.02173913,0.052729692
12,11,FALSE,33,6,0.001111176,2.029949778,,0.03030303,0.036668809
13,11,FALSE,66,10,0.001077409,-2.251135359,,0.015151515,0.07110901
14,11,FALSE,31,11,0.001147079,0.312076264,,0.032258065,0.035559464
15,11,FALSE,43,12,0.001066073,1.669225695,,0.023255814,0.045841156
16,11,FALSE,38,13,0.001267226,-0.11759726,,0.026315789,0.04815458
17,11,FALSE,40,13,0.00104164,2.253559432,,0.025,0.041665596
18,11,FALSE,77,13,0.001052582,-1.577254345,,0.012987013,0.081048809
19,11,FALSE,58,17,0.001037741,0.650314494,,0.017241379,0.060188962
20,11,FALSE,67,17,0.001028546,-2.128661493,,0.014925373,0.068912567
21,11,FALSE,75,17,0.001089934,-0.859423056,,0.013333333,0.081745054
22,11,FALSE,69,18,0.001021527,-1.629875435,,0.014492754,0.070485378
23,11,FALSE,17,19,0.001193697,0.348474697,,0.058823529,0.020292846
24,11,FALSE,24,23,0.001095049,1.398695424,,0.041666667,0.026281182
25,11,FALSE,17,27,0.001105947,-0.987744634,,0.058823529,0.018801105
26,11,FALSE,43,27,0.001033549,-3.060461942,,0.023255814,0.044442595
27,11,FALSE,63,27,0.001094679,1.939883551,,0.015873016,0.068964795
28,11,FALSE,69,29,0.001169381,0.709215642,,0.014492754,0.080687266
29,11,FALSE,29,30,0.001038965,-2.013715434,,0.034482759,0.030129999
30,11,FALSE,54,44,0.001050529,1.033332601,,0.018518519,0.056728575
0,12,FALSE,25,0,0.001345877,-1.049335195,,0.04,0.033646923
1,12,FALSE,53,0,0.00128363,1.602829106,,0.018867925,0.068032393
2,12,FALSE,48,1,0.001534366,2.170737393,,0.020833333,0.073649545
3,12,FALSE,58,1,0.001254121,1.689490877,,0.017241379,0.072738998
4,12,FALSE,16,4,0.001322908,1.313010391,,0.0625,0.021166528
5,12,FALSE,67,4,0.001252719,-0.932608663,,0.014925373,0.083932161
6,12,FALSE,75,5,0.001440523,1.424603404,,0.013333333,0.108039251
7,12,FALSE,31,9,0.001282429,1.488223596,,0.032258065,0.039755298
8,12,FALSE,31,11,0.001269715,0.243129338,,0.032258065,0.039361156
9,12,FALSE,38,13,0.001414008,-0.308590122,,0.026315789,0.053732298
10,12,FALSE,58,13,0.001262518,-0.372754237,,0.017241379,0.073226023
11,12,FALSE,38,14,0.001246874,-0.791920652,,0.026315789,0.047381213
12,12,FALSE,86,16,0.001248426,-1.730481436,,0.011627907,0.107364594
13,12,FALSE,75,17,0.00132143,-1.094766084,,0.013333333,0.099107263
14,12,FALSE,17,19,0.001393152,0.30948067,,0.058823529,0.02368359
15,12,FALSE,17,27,0.001300402,-1.038117835,,0.058823529,0.022106837
0,13,FALSE,25,0,0.001547148,-1.112748834,,0.04,0.038678703
1,13,FALSE,53,0,0.00140943,1.496365244,,0.018867925,0.07469981
2,13,FALSE,23,1,0.001328059,0.873995258,,0.043478261,0.030545355
3,13,FALSE,48,1,0.001525817,2.002235075,,0.020833333,0.07323921
4,13,FALSE,58,1,0.001572173,1.563767683,,0.017241379,0.091186048
5,13,FALSE,34,2,0.001353584,2.654581272,,0.029411765,0.046021869
6,13,FALSE,55,3,0.001310066,1.619117081,,0.018181818,0.072053638
7,13,FALSE,16,4,0.0015479,1.314211192,,0.0625,0.024766396
